"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku"
2025-04-01,2025-04-30,"🥔 Nová pestovateľská sezóna začína",conversion_sadbove_zemiaky,inactive,2025-03-10,2025-04-11,100,Celkový,1.84,,,,,,2.122261,867,804,1.078358,16,0.115,1.845444,1.99005,1,1.84,6.25,0,0,11,0.167273,19,0.096842,,,
2025-04-01,2025-04-30,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,244.79,1446.88,5.910699,15,16.319333,96.458667,1.938209,126297,34041,3.710144,1056,0.231809,0.836124,1.68914,94,2.604149,10296.06,1.440922,0.961538,1041,0.235149,1837,0.133255,2,6,2
2025-04-01,2025-04-30,"Pestujte ako profesionál",sanaplant_general_sales,inactive,2025-03-27,Prebieha,5,Denne,134.78,349.52,2.593263,4,33.695,87.38,4.21227,31997,9310,3.436842,341,0.395249,1.065725,2.201933,26,5.183846,1185.1,2.222222,1.173021,180,0.748778,368,0.36625,,2,1
2025-04-01,2025-04-30,"10 produktov Sanaplant",sanaplant_general_sales,inactive,2025-03-27,Prebieha,7,Denne,49.73,91.96,1.849186,1,49.73,91.96,5.400738,9208,4863,1.893481,126,0.394683,1.368375,1.789019,8,6.21625,373.77,1.470588,0.793651,68,0.731324,136,0.365662,,1,2
2025-04-01,2025-04-30,sikovny_gazda,sanaplant_product_catalog,inactive,2025-03-27,Prebieha,"Using campaign budget",0,150.74,,,1,150.74,,3.341017,45118,18006,2.50572,450,0.334978,0.997385,1.677219,16,9.42125,542.97,0.266667,0.16835,375,0.401973,637,0.236641,,4,4
2025-04-01,2025-04-30,zahradkari,sanaplant_product_catalog,inactive,2025-03-27,Prebieha,"Using campaign budget",0,171.45,98.77,0.576086,3,57.15,32.923333,2.22807,76950,34923,2.203419,732,0.234221,0.951267,1.503307,32,5.357813,1176.36,0.373599,0.246711,803,0.213512,1357,0.126345,1,8,9
2025-04-01,2025-04-30,"RED ANNA",sanaplant_boosting,inactive,2025-04-01,2025-04-08,20,Celkový,19.91,23.97,1.203918,1,19.91,23.97,1.720532,11572,6367,1.817496,179,0.111229,1.546837,2.15172,3,6.636667,55.32,1.315789,0.558659,76,0.261974,321,0.062025,3,,3
2025-04-01,2025-04-30,Jahody,sanaplant_boosting,inactive,2025-04-04,2025-04-11,20,Celkový,19.94,,,,,,0.904883,22036,15680,1.405357,36,0.553889,0.163369,0.229592,,,,0,0,6,3.323333,7343,0.002716,,1,4
2025-04-01,2025-04-30,"Pestujte ako profesionál",sanaplant_brand,inactive,2025-04-07,Prebieha,1.5,Denne,3.27,,,,,,1.084937,3014,2945,1.02343,3,1.09,0.099536,0.101868,,,,0,0,,,4,0.8175,,,
2025-04-01,2025-04-30,"Pestujte ako profesionál",sanaplant_brand,inactive,2025-04-07,Prebieha,1,Denne,39.31,,,,,,0.914314,42994,40196,1.069609,43,0.914186,0.100014,0.104488,,,,0,0,1,39.31,54,0.727963,,1,
2025-04-01,2025-04-30,"Profesionálne riešenia pre malých pestovateľov",sikovny_gazda_traffic,inactive,2025-04-10,Prebieha,4.75,Denne,2.39,,,,,,0.943918,2532,2102,1.204567,20,0.1195,0.789889,0.903901,,,,0,0,3,0.796667,27,0.088519,,,
2025-04-01,2025-04-30,"Všetko, čo potrebuje šikovný pestovateľ",sikovny_gazda_traffic,inactive,2025-04-10,Prebieha,4.75,Denne,53.88,,,,,,1.949067,27644,13057,2.117179,419,0.128592,1.5157,2.374205,2,26.94,129.4,0,0,119,0.452773,436,0.123578,,2,
2025-04-01,2025-04-30,"Malý praktický balíček",sanaplant_boosting,inactive,2025-04-09,2025-04-16,30,Celkový,29.97,,,,,,2.974985,10074,5962,1.689701,66,0.454091,0.655152,1.023147,,,,0,0,8,3.74625,250,0.11988,,1,4
2025-04-01,2025-04-30,SilvaTabs,sanaplant_products_traffic,inactive,2025-04-10,Prebieha,4.75,Denne,18.62,,,,,,2.021935,9209,6302,1.461282,212,0.08783,2.302096,2.634084,,,,0,0,50,0.3724,3104,0.005999,,1,1
2025-04-01,2025-04-30,Gunner,sanaplant_products_traffic,inactive,2025-04-10,Prebieha,4,Denne,17.97,,,,,,1.924807,9336,5949,1.569339,257,0.069922,2.752785,3.765339,2,8.985,252.43,0,0,129,0.139302,270,0.066556,,2,
2025-04-01,2025-04-30,"10 produktov Sanaplant",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,19,,,,,,1.546098,12289,9184,1.338088,353,0.053824,2.872488,3.092334,1,19,134.69,0,0,152,0.125,382,0.049738,,1,3
2025-04-01,2025-04-30,"10 produktov Sanaplant",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,19.16,,,,,,1.51955,12609,9261,1.361516,369,0.051924,2.926481,3.142209,2,9.58,269.38,0,0,148,0.129459,395,0.048506,,2,3
2025-04-01,2025-04-30,"HydroHumat - apríl a máj v záhrade?",sanaplant_products_traffic,inactive,2025-04-10,Prebieha,5,Denne,17.86,,,,,,1.817257,9828,7255,1.354652,298,0.059933,3.032153,2.770503,6,2.976667,222.59,0,0,121,0.147603,308,0.057987,,,
2025-04-01,2025-04-30,"Zdravé rastliny = BOHATÁ ÚRODA",sanaplant_boosting,inactive,2025-04-11,2025-04-18,20,Celkový,19.96,,,,,,3.023326,6602,4001,1.650087,117,0.170598,1.77219,2.674331,,,,0,0,18,1.108889,179,0.111508,,1,1
